,vi_family,grad_estimator_type,good_model_id,laplaces_method_use,augmentation_param_M,step_size,num_epochs,time per iter,good_model_names,seed,final_metric,final_metric_std,training_average_lower_bound,sampling_M,step_size_scheme
29,rnvp,IWAE,5,0,10,0.0015625,30000,0.12137712709108989,congress,11,737.8397206344567,2.0910672167388396,496.62845968146996,1,comprehensive step search
30,rnvp,IWAEDREG,5,0,1,0.00625,30000,0.18320593032042184,congress,11,738.6336563567265,0.5776389081403217,250.90048128272335,1,comprehensive step search
31,rnvp,IWAEDREG,5,0,10,0.0015625,30000,0.16229958975315095,congress,11,738.6740596805253,0.8937782662705147,497.04643576546795,1,comprehensive step search
32,gaussian,IWAE,7,0,1,0.0125,30000,0.0822916292031606,wells,11,-2041.962979885729,0.3131228754202721,-2170.1804642414195,1,comprehensive step search
33,gaussian,IWAE,7,0,10,0.05,30000,0.07526124898592632,wells,11,-2050.109169668357,13.24852443273891,-2048.46419900793,1,comprehensive step search
34,gaussian,IWAE,7,1,1,0.0001953125,30000,0.08275113649368286,wells,11,-2041.9039891772568,0.021994786818075325,-2041.904638077585,1,comprehensive step search
35,gaussian,IWAE,7,1,10,0.0001953125,30000,0.07490415961742401,wells,11,-2041.9097238241795,0.10282047675352068,-2041.9031571766723,1,comprehensive step search
36,gaussian,IWAEDREG,7,0,1,0.0125,30000,0.08122957368691762,wells,11,-2041.9041213379703,0.01379167425610577,-2170.173567418614,1,comprehensive step search
37,gaussian,IWAEDREG,7,0,10,0.0125,30000,0.07471357014973959,wells,11,-2041.904050375661,0.012990679994031546,-2053.2522287446213,1,comprehensive step search
38,gaussian,IWAEDREG,7,1,1,0.0001953125,30000,0.08165576191743215,wells,11,-2041.9039731632386,0.008995488087564086,-2041.9042649180064,1,comprehensive step search
39,gaussian,IWAEDREG,7,1,10,0.0001953125,30000,0.0750033054192861,wells,11,-2041.9041408250596,0.008877856960503644,-2041.9042167387413,1,comprehensive step search
40,rnvp,IWAE,7,0,1,0.0125,30000,0.1934471425930659,wells,11,-2053.244987446822,1.008528544387185,-2086.1939263022423,1,comprehensive step search
41,rnvp,IWAE,7,0,10,0.0125,30000,0.20270975500742594,wells,11,-17207799.24570325,34008219.17995281,-2048.155900185323,1,comprehensive step search
42,rnvp,IWAEDREG,7,0,1,0.003125,30000,0.2571131341377894,wells,11,-2041.9040339325088,0.018077754820524487,-2137.3024578757095,1,comprehensive step search
43,rnvp,IWAEDREG,7,0,10,0.003125,30000,0.2212046049753825,wells,11,-2041.9045419655945,0.026907829265555596,-2048.581922967335,1,comprehensive step search
44,gaussian,IWAE,10,0,1,0.0005780346820809249,30000,0.061090596906344094,hiv_chr,11,-74.78960011502664,1.790722417592728,-1581.8628727830805,1,comprehensive step search
45,gaussian,IWAE,10,0,10,0.0005780346820809249,30000,0.05608747708002726,hiv_chr,11,-79.7323917119313,5.578703705926105,-1006.8970305074729,1,comprehensive step search
46,gaussian,IWAE,10,1,1,0.0005780346820809249,30000,0.06264251629511515,hiv_chr,11,-74.80146602174534,1.7527011294673682,-1051.811618935287,1,comprehensive step search
47,gaussian,IWAE,10,1,10,0.00014450867052023122,30000,0.055686206356684365,hiv_chr,11,-6795.273649019499,16533.71026660005,-551.143102895898,1,comprehensive step search
48,gaussian,IWAEDREG,10,0,1,0.0005780346820809249,30000,0.042148233286539716,hiv_chr,11,-74.19800688432932,1.3621508006676335,-1581.6583816130149,1,comprehensive step search
49,gaussian,IWAEDREG,10,0,10,0.0005780346820809249,30000,0.03623607467810313,hiv_chr,11,-76.08670773127912,3.8385764451286932,-1002.5358306471771,1,comprehensive step search
50,gaussian,IWAEDREG,10,1,1,0.0005780346820809249,30000,0.03192909747759501,hiv_chr,11,-74.21199137394805,1.3904789494891607,-1051.7310847757487,1,comprehensive step search
51,gaussian,IWAEDREG,10,1,10,0.00014450867052023122,30000,0.02753613182703654,hiv_chr,11,-7622.222954558022,18419.924322561277,-547.5440960107061,1,comprehensive step search
52,rnvp,IWAE,10,0,1,0.0005780346820809249,30000,0.22978435548146567,hiv_chr,11,-74.0555469446084,1.603963826763464,-918.4362407357211,1,comprehensive step search
53,rnvp,IWAE,10,0,10,0.0005780346820809249,30000,0.21923870780467988,hiv_chr,11,-78.3033077316979,3.6350531991911765,-576.2860736963705,1,comprehensive step search
54,rnvp,IWAEDREG,10,0,1,0.0005780346820809249,30000,0.25279490280946093,hiv_chr,11,-73.17231914423462,0.9049441462180574,-917.9808281772829,1,comprehensive step search
55,rnvp,IWAEDREG,10,0,10,0.0005780346820809249,30000,0.23679878127574921,hiv_chr,11,-74.24317078380871,1.9927074972447447,-570.2347743617017,1,comprehensive step search
56,gaussian,IWAE,17,0,1,0.03333333333333333,30000,0.019384784356753032,mesquite_volume,11,12.417352241392088,0.4194499078329307,-750.4053034706837,1,comprehensive step search
57,gaussian,IWAE,17,0,10,0.03333333333333333,30000,0.013173865667978922,mesquite_volume,11,9.75753339081594,4.634776901268552,-28.84968706330463,1,comprehensive step search
58,gaussian,IWAE,17,1,1,0.0005208333333333333,30000,0.02064801374276479,mesquite_volume,11,12.492277202150767,0.22517017152110366,12.476501612365158,1,comprehensive step search
59,gaussian,IWAE,17,1,10,0.00013020833333333333,30000,0.012729062684377035,mesquite_volume,11,12.481979715627173,0.2750542944903805,12.511922404958408,1,comprehensive step search
60,gaussian,IWAEDREG,17,0,1,0.03333333333333333,30000,0.02074344293276469,mesquite_volume,11,12.48735879439289,0.240096156958194,-750.3929776962725,1,comprehensive step search
61,gaussian,IWAEDREG,17,0,10,0.03333333333333333,30000,0.012817385323842367,mesquite_volume,11,12.450504937468986,0.4399819277886019,-28.81453982777388,1,comprehensive step search
62,gaussian,IWAEDREG,17,1,1,0.0020833333333333333,30000,0.0195724258740743,mesquite_volume,11,12.485752955382594,0.22812128217713928,12.477711449046147,1,comprehensive step search
63,gaussian,IWAEDREG,17,1,10,0.0005208333333333333,30000,0.012812446928024293,mesquite_volume,11,12.48188300904502,0.2969446092927145,12.51305490717978,1,comprehensive step search
64,rnvp,IWAE,17,0,1,0.008333333333333333,30000,0.12886442398230236,mesquite_volume,11,12.481832211001496,0.27909335425892645,-358.7996488719698,1,comprehensive step search
65,rnvp,IWAE,17,0,10,0.0020833333333333333,30000,0.11738066936333974,mesquite_volume,11,10.851602122485072,3.7461633800476504,-27.78652312680855,1,comprehensive step search
66,rnvp,IWAEDREG,17,0,1,0.008333333333333333,30000,0.15081203280289968,mesquite_volume,11,12.507297150032853,0.11580573437649261,-358.8680097657366,1,comprehensive step search
67,rnvp,IWAEDREG,17,0,10,0.0020833333333333333,30000,0.16079222809473673,mesquite_volume,11,11.636981349605229,2.4848958224101594,-27.56163364699233,1,comprehensive step search
68,gaussian,IWAE,26,0,1,0.008333333333333333,30000,0.04359557844003042,dogs,11,-298.3625796524571,0.4625326703331503,-1088.4614295060117,1,comprehensive step search
69,gaussian,IWAE,26,0,10,0.008333333333333333,30000,0.03726826090812683,dogs,11,-305.09793582983673,12.140340409856234,-370.902774000248,1,comprehensive step search
70,gaussian,IWAE,26,1,1,0.00013020833333333333,30000,0.0454278516292572,dogs,11,-298.2632943437,0.09596551950933677,-298.26630905951924,1,comprehensive step search
71,gaussian,IWAE,26,1,10,0.0020833333333333333,30000,0.03860069270928701,dogs,11,-298.34096529169926,0.4190356817981448,-298.25702288367916,1,comprehensive step search
72,gaussian,IWAEDREG,26,0,1,0.008333333333333333,30000,0.04560108033021291,dogs,11,-298.26804220925203,0.14661510423849194,-1088.446113625001,1,comprehensive step search
73,gaussian,IWAEDREG,26,0,10,0.008333333333333333,30000,0.036824492263793945,dogs,11,-298.2706254318931,0.16297997097201916,-370.8289665462632,1,comprehensive step search
74,gaussian,IWAEDREG,26,1,1,0.0005208333333333333,30000,0.04387635884284973,dogs,11,-298.26384181703224,0.10843498383060482,-298.2638009007685,1,comprehensive step search
75,gaussian,IWAEDREG,26,1,10,0.0005208333333333333,30000,0.037159454067548114,dogs,11,-298.264054830876,0.11892372087717282,-298.2585378943363,1,comprehensive step search
